,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,new_addition,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-01-26 20:28:01,2023-12-09 00:22:24,2360,1.0,680,164,60,4,704,3011,2023-10-23 21:02:38,1.6.0,4701.0,63.0,20.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,28,23,3,,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2023-11-15 17:44:42,2023-05-31 01:20:33,444,,314,50,56,312,175,1688,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,26,19,1,,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-02-06 00:33:00,2024-01-30 22:12:15,4643,25.0,550,159,4185,1169,3309,1557,2023-12-13 22:53:56,4.5.0.0,561751.0,7021.0,50.0,Official code repository for GATK versions 4 and up.,127,25,1,,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-02-02 15:56:11,2024-01-26 10:14:03,2638,32.0,544,102,776,169,1022,1502,2024-01-24 12:34:52,1.19.2,1394756.0,12914.0,24.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,92,25,1,,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2023-04-26 08:12:19,2022-09-22 23:52:12,967,,507,106,125,182,103,1403,2017-10-23 17:12:23,0.7.17,104326.0,1086.0,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33,19,1,,,
5,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2023-11-22 07:41:33,2023-11-22 07:41:07,222,3.0,99,23,24,49,148,626,2023-11-22 07:44:33,0.3.6,300769.0,3856.0,25.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",16,19,3,,,
6,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-02-01 16:57:26,2024-01-31 11:38:22,2880,38.0,221,48,291,275,1508,593,2023-12-12 16:18:14,1.19,555332.0,5141.0,23.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,54,23,1,True,,
7,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,,96,28,60,29,424,543,2023-08-16 09:16:34,1.0.1,140761.0,1135.0,44.0,Tools for working with SAM/BAM data.,29,20,2,,,
8,etal/cnvkit,etal/cnvkit,cnv-calling,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2023-12-11 05:34:06,2023-12-11 05:34:06,1740,2.0,147,32,107,282,438,458,2023-02-24 18:40:51,0.9.10,,,41.0,Copy number variant detection from targeted DNA sequencing.,38,18,1,True,28.0,28.0
9,Illumina/strelka,Illumina/strelka,variant-calling,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,GPL-3.0,2016-10-17 23:30:24,2021-12-29 17:03:24,2019-02-06 00:41:27,3315,,99,30,4,123,109,338,2018-11-08 00:50:05,2.9.10,34269.0,389.0,18.0,Strelka2 germline and somatic small variant caller.,32,18,3,,,
